target_word,similar_word,similarity
米,欧,0.6358110904693604
米,[米],0.6055232286453247
米,ソ,0.5916671752929688
米,久次,0.5564616918563843
米,独,0.5496861934661865
米,朝間,0.5408271551132202
米,[コメ],0.5387352108955383
米,米国,0.5280816555023193
米,米メディア,0.5140823721885681
米,仏,0.49882107973098755
米,墺,0.49689817428588867
米,豪,0.4954892098903656
米,対米,0.48909521102905273
米,露,0.4885573983192444
米,韓,0.47673115134239197
津,磐,0.7584381699562073
津,宇佐,0.7527679800987244
津,浦,0.7457063794136047
津,大津,0.7413263320922852
津,鷺,0.7366059422492981
津,住吉,0.7276971936225891
津,崎,0.7262842655181885
津,嶋,0.7259765863418579
津,垂水,0.7249318361282349
津,湊,0.7236890196800232
津,浜,0.7220960259437561
津,濱,0.720092236995697
津,度会,0.7166233658790588
津,鳥羽,0.7155861258506775
津,由良,0.7137120962142944
玄,甫,0.8499703407287598
玄,厳,0.8289332389831543
玄,叟,0.8271116614341736
玄,悦,0.816211462020874
玄,恕,0.8141059875488281
玄,芳,0.8093946576118469
玄,舜,0.8091724514961243
玄,如,0.8036273717880249
玄,孚,0.8009665012359619
玄,黙,0.8004013299942017
玄,慧,0.7993995547294617
玄,翁,0.7981588840484619
玄,閑,0.7943712472915649
玄,尭,0.7886778712272644
玄,琳,0.7884453535079956
師,弟子,0.6695425510406494
師,高弟,0.6447646617889404
師,[道士],0.6228017210960388
師,老師,0.617732048034668
師,門弟,0.6155246496200562
師,直弟子,0.614355742931366
師,道士,0.5992740392684937
師,門人,0.5974962115287781
師,達人,0.59574294090271
師,[少林寺],0.5946258306503296
師,士,0.5900204181671143
師,師家,0.5895859003067017
師,[形意拳],0.588270366191864
師,宗匠,0.583916425704956
師,武術家,0.583427906036377
